,STATE ABBREVIATION,STATE,D,FEC ID#,(I),CANDIDATE NAME (First),CANDIDATE NAME (Last),CANDIDATE NAME,PARTY,GENERAL PERCENT,,,,,,
0,AL,Alabama,1,H4AL01123,(I),Bradley,Byrne,"Byrne, Bradley",R,"68,16%",,,,,,
1,AL,Alabama,1,H4AL01156,,Burton R.,LeFlore,"LeFlore, Burton R.",D,"31,71%",,,,,,
2,AL,Alabama,1,n/a,,,,Scattered,W,"0,13%",,,,,,
3,AL,Alabama,1,n/a,,,,,,,,,,,,
4,AL,Alabama,,n/a,,,,,,,,,,,,
5,AL,Alabama,2,H0AL02087,(I),Martha,Roby,"Roby, Martha",R,"67,34%",,,,,,
6,AL,Alabama,2,H4AL02071,,Erick,Wright,,D,"32,56%",,,,,,
7,AL,Alabama,2,n/a,,,,Scattered,W,"0,09%",,,,,,
8,AL,Alabama,2,n/a,,,,,,,,,,,,
9,AL,Alabama,,n/a,,,,,,,,,,,,
10,AL,Alabama,3,H2AL03032,(I),Mike,Rogers,"Rogers, Mike",R,"66,12%",,,,,,
11,AL,Alabama,3,H4AL03053,,Thomas,Casson,"Casson, Thomas",R,,,,,,,
12,AL,Alabama,3,n/a,,,,,R,,,,,,,
13,AL,Alabama,3,H4AL03061,,Jesse T.,Smith,"Smith, Jesse T.",D,"33,72%",,,,,,
14,AL,Alabama,3,n/a,,,,Scattered,W,"0,16%",,,,,,
15,AL,Alabama,3,n/a,,,,,,,,,,,,
16,AL,Alabama,,n/a,,,,,,,,,,,,
17,AL,Alabama,4,H6AL04098,(I),Robert,Aderholt,"Aderholt, Robert",R,"98,57%",,,,,,
18,AL,Alabama,4,n/a,,,,Scattered,W,"1,43%",,,,,,
19,AL,Alabama,4,n/a,,,,,,,,,,,,
20,AL,Alabama,,n/a,,,,,,,,,,,,
21,AL,Alabama,5,H0AL05163,(I),Mo,Brooks,"Brooks, Mo",R,"74,42%",,,,,,
22,AL,Alabama,5,H4AL05074,,Jerry,Hill,"Hill, Jerry",R,,,,,,,
23,AL,Alabama,5,n/a,,,,,R,,,,,,,
24,AL,Alabama,5,H4AL05082,,Mark,Bray,"Bray, Mark",IND,"25,17%",,,,,,
25,AL,Alabama,5,n/a,,,,Scattered,W,"0,41%",,,,,,
26,AL,Alabama,5,n/a,,,,,,,,,,,,
27,AL,Alabama,,n/a,,,,,,,,,,,,
28,AL,Alabama,6,H4AL06098,,Gary,Palmer,"Palmer, Gary",R,"76,18%",,,,,,
29,AL,Alabama,6,H4AL06080,,Paul,DeMarco,"DeMarco, Paul",R,,,,,,,
30,AL,Alabama,6,H2AL06126,,Scott,Beason,"Beason, Scott",R,,,,,,,
31,AL,Alabama,6,H4AL06072,,Chad,Mathis,"Mathis, Chad",R,,,,,,,
32,AL,Alabama,6,H4AL06106,,Will,Brooke,,R,,,,,,,
33,AL,Alabama,6,H4AL06114,,Tom,Vigneulle,"Vigneulle, Tom",R,,,,,,,
